File Name,Utterance,Speaker,Arousal,Valence,Dominance
101907,yeah,MOT,,,
101908,this is July thirtieth,MOT,,,
101909,go,CHI,0.51,0.441,0.444
101910,that's the recorder,MOT,0.551,0.374,0.481
101911,that's correct,MOT,0.857,0.306,0.723
101912,day day day day day day day day day day day,MOT,0.7190000000000002,0.2690000000000001,0.38900000000000007
101913,be,CHI,0.67,0.24,0.554
101914,be what,MOT,0.67,0.24,0.554
101915,Shower,CHI,,,
101916,be shower,MOT,0.6695,0.293,0.44500000000000006
101917,now she's running off to see the shower,MOT,0.6779999999999999,0.49099999999999994,0.36333333333333334
101918,Dwww,CHI,,,
101919,no,MOT,,,
101920,that's Jwww's name,MOT,0.573,0.3,0.415
101921,what's your name,MOT,0.573,0.3,0.415
101922,lo_lo,CHI,,,
101923,lo_lo,CHI,,,
101924,you want Jwww's pacifier,MOT,0.643,0.492,0.477
101925,what's your name,MOT,0.573,0.3,0.415
101926,pacifier and let her be in her bed,FAT,0.5790000000000001,0.28200000000000003,0.386
101927,it sure better,MOT,0.724,0.27,0.793
101928,what's your name Laura,MOT,0.573,0.3,0.415
101929,no,CHI,,,
101930,gram,CHI,0.578,0.333,0.26
101931,is it a hot day Laura,MOT,0.6045,0.5045,0.481
101932,no,CHI,,,
101933,gram,CHI,0.578,0.333,0.26
101934,pillows,MOT,,,
101935,they're lying on the,MOT,0.208,0.704,0.317
101936,pillow,CHI,0.663,0.128,0.195
101937,Jojo's pillow,MOT,0.663,0.128,0.195
101938,is it a hot day Laura,MOT,0.6045,0.5045,0.481
101939,lo_lo,CHI,,,
101940,no lo_lo,MOT,,,
101941,Lolo's gone,MOT,0.292,0.23,0.19
101942,is it a hot day Laura,MOT,0.6045,0.5045,0.481
101943,no,SIS,,,
101944,yeah,MOT,,,
101945,well we will in a minute,MOT,0.6399999999999999,0.3435,0.5455
101946,now now Laura's not helping us is she,MOT,,,
101947,hey Laura,MOT,,,
101948,is it a hot day,MOT,0.6045,0.5045,0.481
101949,Laura's busy playing with the airconditioning,MOT,0.402,0.5,0.474
101950,no she's fixing it,SIS,,,
101951,yeah,MOT,,,
101952,oh,SIS,,,
101953,so we,SIS,,,
101954,is it a,MOT,,,
101955,hey Laura,MOT,,,
101956,is it a hot day,MOT,0.6045,0.5045,0.481
101957,on,CHI,,,
101958,on,MOT,,,
101959,yes,MOT,,,
101960,the airconditioner's on,MOT,,,
101961,it's blowing her hair off her,SIS,0.5515,0.32899999999999996,0.36
101962,on,CHI,,,
101963,on,MOT,,,
101964,Daddy,CHI,,,
101965,that's Daddy's,MOT,,,
101966,right Laura,MOT,0.74,0.352,0.71
101967,not to touch it,MOT,-0.646,-0.477,-0.455
101968,not for Laura,MOT,,,
101969,Laura,MOT,,,
101970,not for Laura,MOT,,,
101971,she got the knobs for the airconditioner,MOT,,,
101972,not for Laura,MOT,,,
101973,crying,CHI,0.153,0.704,0.208
101974,not for Laura,MOT,,,
101975,whose is that,MOT,,,
101976,it,MOT,,,
101977,okay,MOT,,,
101978,Daddy's,CHI,,,
101979,oh ow,CHI,,,
101980,uhoh,CHI,0.32,0.622,0.284
101981,uhoh,CHI,0.32,0.622,0.284
101982,uhoh,CHI,0.32,0.622,0.284
101983,that's Mummy's not for Laura,MOT,,,
101984,Mommy's store,MOT,0.646,0.538,0.407
101985,where're the keys,MOT,,,
101986,key,CHI,0.615,0.275,0.519
