,index,filename,path,utt_num,who,role,postcodes,gems,utterance,startTime,endTime,emotion_words,context,decimal_age,age_group,label
0,4,010615,childes/Eng-NA/Braunwald/010615,227,CHI,Target_Child,I,,oh good,710.506,712.143,['good'],"[""MOT:you're bypassing the bowl in front of me"", 'SIS:Laura', ""SIS:I'll help"", ""SIS:here's a strawberry too"", ""SIS:here's a strawberry too"", 'CHI:oh good']",1.5,1-2,Emotion.
1,9,010621,childes/Eng-NA/Braunwald/010621,108,CHI,Target_Child,,,good,223.494,224.028,['good'],"[""MOT:that's right"", 'CHI:Swww', 'CHI:Swww', 'SIS:mm', 'SIS:this is', 'CHI:good']",1.5,1-2,Approval
2,11,010707,childes/Eng-NA/Braunwald/010707,259,CHI,Target_Child,,,good doggy,489.898,491.721,['good'],"['MOT:maybe he is', ""SIS:Gwww isn't a kitty"", 'CHI:he more than you', ""SIS:you know Gwww isn't a kitty"", 'CHI:yeah', 'CHI:good doggy']",1.58,1-2,Praise.
3,12,010707,childes/Eng-NA/Braunwald/010707,261,CHI,Target_Child,SR,,good doggy,492.382,494.136,['good'],"['CHI:he more than you', ""SIS:you know Gwww isn't a kitty"", 'CHI:yeah', 'CHI:good doggy', 'FAT:oh', 'CHI:good doggy']",1.58,1-2,Emotion
4,13,010707,childes/Eng-NA/Braunwald/010707,262,CHI,Target_Child,SR,,good doggy,494.321,496.248,['good'],"[""SIS:you know Gwww isn't a kitty"", 'CHI:yeah', 'CHI:good doggy', 'FAT:oh', 'CHI:good doggy', 'CHI:good doggy']",1.58,1-2,Affection.
5,14,010725,childes/Eng-NA/Braunwald/010725,205,CHI,Target_Child,,,good,524.167,524.956,['good'],"['MOT:here you go', 'CHI:I like', 'SIS:Mom', 'MOT:cereal kids', 'SIS:I am', 'CHI:good']",1.58,1-2,Behavior
6,15,010725,childes/Eng-NA/Braunwald/010725,206,CHI,Target_Child,SR,,good,525.409,526.14,['good'],"['CHI:I like', 'SIS:Mom', 'MOT:cereal kids', 'SIS:I am', 'CHI:good', 'CHI:good']",1.58,1-2,Behavior
7,17,010902,childes/Eng-NA/Braunwald/010902,47,CHI,Target_Child,,,want a good breakfast,87.764,89.738,['good'],"['CHI:baby there Mama', 'CHI:baby there', ""MOT:that's a little doll too"", ""MOT:that's Joanna's little toy doll"", ""MOT:let's have a good breakfast"", 'CHI:want a good breakfast']",1.75,1-2,Quality
8,18,010902,childes/Eng-NA/Braunwald/010902,236,CHI,Target_Child,PI,,get a good,564.581,566.984,['good'],"['MOT:okay', 'CHI:get my baby doll', ""MOT:here's your baby doll"", 'MOT:there you go', 'MOT:mhm', 'CHI:get a good']",1.75,1-2,Evaluation
9,19,010902,childes/Eng-NA/Braunwald/010902,308,CHI,Target_Child,,,good ate mine,732.179,733.874,['good'],"['MOT:uhhuh', 'CHI:uhuh', 'MOT:uhhuh', 'CHI:uhuh', 'CHI:here', 'CHI:good ate mine']",1.75,1-2,Possession
