path,filename,languages,media,date,pid,designType,activityType,groupType
childes/Eng-NA/Bates/Free20/amy,amy,eng,,,11312/c-00015218-1,cross,toyplay,TD
childes/Eng-NA/Bates/Free20/betty,betty,eng,,,11312/c-00015219-1,cross,toyplay,TD
childes/Eng-NA/Bates/Free20/chuck,chuck,eng,,,11312/c-00015220-1,cross,toyplay,TD
childes/Eng-NA/Bates/Free20/doug,doug,eng,,,11312/c-00015221-1,cross,toyplay,TD
childes/Eng-NA/Bates/Free20/ed,ed,eng,,,11312/c-00015222-1,cross,toyplay,TD
childes/Eng-NA/Bates/Free20/frank,frank,eng,,,11312/c-00015223-1,cross,toyplay,TD
childes/Eng-NA/Bates/Free20/gloria,gloria,eng,,,11312/c-00015224-1,cross,toyplay,TD
childes/Eng-NA/Bates/Free20/hank,hank,eng,,,11312/c-00015225-1,cross,toyplay,TD
childes/Eng-NA/Bates/Free20/ivy,ivy,eng,,,11312/c-00015226-1,cross,toyplay,TD
childes/Eng-NA/Bates/Free20/jane,jane,eng,,,11312/c-00015227-1,cross,toyplay,TD
childes/Eng-NA/Bates/Free20/jim,jim,eng,,,11312/c-00015228-1,cross,toyplay,TD
childes/Eng-NA/Bates/Free20/kathy,kathy,eng,,,11312/c-00015229-1,cross,toyplay,TD
childes/Eng-NA/Bates/Free20/keith,keith,eng,,,11312/c-00015230-1,cross,toyplay,TD
childes/Eng-NA/Bates/Free20/kent,kent,eng,,,11312/c-00015231-1,cross,toyplay,TD
childes/Eng-NA/Bates/Free20/linda,linda,eng,,,11312/c-00015232-1,cross,toyplay,TD
childes/Eng-NA/Bates/Free20/mandy,mandy,eng,,,11312/c-00015233-1,cross,toyplay,TD
childes/Eng-NA/Bates/Free20/nan,nan,eng,,,11312/c-00015234-1,cross,toyplay,TD
childes/Eng-NA/Bates/Free20/olivia,olivia,eng,,,11312/c-00015235-1,cross,toyplay,TD
childes/Eng-NA/Bates/Free20/paula,paula,eng,,,11312/c-00015236-1,cross,toyplay,TD
childes/Eng-NA/Bates/Free20/pete,pete,eng,,,11312/c-00015237-1,cross,toyplay,TD
childes/Eng-NA/Bates/Free20/ruth,ruth,eng,,,11312/c-00015238-1,cross,toyplay,TD
childes/Eng-NA/Bates/Free20/steve,steve,eng,,,11312/c-00015239-1,cross,toyplay,TD
childes/Eng-NA/Bates/Free20/sue,sue,eng,,,11312/c-00015240-1,cross,toyplay,TD
childes/Eng-NA/Bates/Free20/tom,tom,eng,,,11312/c-00015241-1,cross,toyplay,TD
childes/Eng-NA/Bates/Free20/vicki,vicki,eng,,,11312/c-00015242-1,cross,toyplay,TD
childes/Eng-NA/Bates/Free20/wanda,wanda,eng,,,11312/c-00015243-1,cross,toyplay,TD
childes/Eng-NA/Bates/Free20/will,will,eng,,,11312/c-00015244-1,cross,toyplay,TD
childes/Eng-NA/Bates/Free20/zeke,zeke,eng,,,11312/c-00015245-1,cross,toyplay,TD
childes/Eng-NA/Bates/Free28/amy28,amy28,eng,,,11312/c-00015246-1,cross,toyplay,TD
childes/Eng-NA/Bates/Free28/betty28,betty28,eng,,,11312/c-00015247-1,cross,toyplay,TD
childes/Eng-NA/Bates/Free28/chuck28,chuck28,eng,,,11312/c-00015248-1,cross,toyplay,TD
childes/Eng-NA/Bates/Free28/doug28,doug28,eng,,,11312/c-00015249-1,cross,toyplay,TD
childes/Eng-NA/Bates/Free28/ed28,ed28,eng,,,11312/c-00015250-1,cross,toyplay,TD
childes/Eng-NA/Bates/Free28/frank28,frank28,eng,,,11312/c-00015251-1,cross,toyplay,TD
