filename,path,who,name,role,language,monthage,age,sex,numwords,numutts,avgutt,medianutt
betty,childes/Eng-NA/Bates/Free20/betty,MOT,,Mother,eng,,,female,354,93,3.8064516,4
betty,childes/Eng-NA/Bates/Free20/betty,CHI,,Target_Child,eng,20.0,1;08.00,female,13,12,1.0833334,1
chuck,childes/Eng-NA/Bates/Free20/chuck,MOT,,Mother,eng,,,female,216,76,2.8421052,2
chuck,childes/Eng-NA/Bates/Free20/chuck,CHI,,Target_Child,eng,20.0,1;08.00,male,67,48,1.3958334,1
doug,childes/Eng-NA/Bates/Free20/doug,MOT,,Mother,eng,,,female,206,47,4.382979,4
doug,childes/Eng-NA/Bates/Free20/doug,CHI,,Target_Child,eng,20.0,1;08.00,male,8,8,1.0,1
ed,childes/Eng-NA/Bates/Free20/ed,CHI,,Target_Child,eng,20.0,1;08.00,male,26,26,1.0,1
ed,childes/Eng-NA/Bates/Free20/ed,MOT,,Mother,eng,,,female,455,117,3.8888888,3
frank,childes/Eng-NA/Bates/Free20/frank,CHI,,Target_Child,eng,20.0,1;08.00,male,30,25,1.2,1
frank,childes/Eng-NA/Bates/Free20/frank,MOT,,Mother,eng,,,female,303,89,3.4044943,3
gloria,childes/Eng-NA/Bates/Free20/gloria,CHI,,Target_Child,eng,22.0,1;10.00,female,19,17,1.117647,1
gloria,childes/Eng-NA/Bates/Free20/gloria,MOT,,Mother,eng,,,female,158,61,2.590164,2
hank,childes/Eng-NA/Bates/Free20/hank,MOT,,Mother,eng,,,female,445,137,3.2481751,3
hank,childes/Eng-NA/Bates/Free20/hank,CHI,,Target_Child,eng,20.0,1;08.00,male,19,16,1.1875,1
ivy,childes/Eng-NA/Bates/Free20/ivy,MOT,,Mother,eng,,,female,174,61,2.852459,3
ivy,childes/Eng-NA/Bates/Free20/ivy,CHI,,Target_Child,eng,20.0,1;08.00,female,8,5,1.6,2
jane,childes/Eng-NA/Bates/Free20/jane,MOT,,Mother,eng,,,female,201,62,3.2419355,3
jane,childes/Eng-NA/Bates/Free20/jane,CHI,,Target_Child,eng,20.0,1;08.00,female,3,3,1.0,1
jim,childes/Eng-NA/Bates/Free20/jim,MOT,,Mother,eng,,,female,343,80,4.2875,4
jim,childes/Eng-NA/Bates/Free20/jim,CHI,,Target_Child,eng,20.0,1;08.00,male,23,18,1.2777778,1
kathy,childes/Eng-NA/Bates/Free20/kathy,CHI,,Target_Child,eng,20.0,1;08.00,female,15,15,1.0,1
kathy,childes/Eng-NA/Bates/Free20/kathy,MOT,,Mother,eng,,,female,288,84,3.4285715,3
keith,childes/Eng-NA/Bates/Free20/keith,MOT,,Mother,eng,,,female,339,88,3.8522727,3
keith,childes/Eng-NA/Bates/Free20/keith,CHI,,Target_Child,eng,20.0,1;08.00,male,87,55,1.5818182,1
kent,childes/Eng-NA/Bates/Free20/kent,MOT,,Mother,eng,,,female,273,71,3.8450704,3
kent,childes/Eng-NA/Bates/Free20/kent,CHI,,Target_Child,eng,20.0,1;08.00,male,20,20,1.0,1
linda,childes/Eng-NA/Bates/Free20/linda,MOT,,Mother,eng,,,female,412,99,4.1616163,4
linda,childes/Eng-NA/Bates/Free20/linda,CHI,,Target_Child,eng,20.0,1;08.00,female,47,36,1.3055556,1
